Index,Comment,Height(Inches),Extra,Weight(Pounds)
11626,"Sometimes,",66.77853,"Window|Power Hope
Mean Price|",128.7692
11627,"Mother
Official
Look Cut	Book
Well|Administration
Century	Strong	",66.4406,"Model|Party
Position
Staff|Later
Light	Teacher;General Front Here
",118.4163
11628,"Choose	Traditional,Operation,Enter;Such	",69.02771,"Heart	Knowledge Model|Whether;Table
Read;",136.656
11629,,65.99368,"High;Represent Behind
",145.7856
11630,"Choose,Child Woman,Stay	Wrong	",68.21133,"Some	About,Career|Nor|Service Door Structure
Large|Politics End|",126.3564
11631,,68.81559,"Cut,Hit|Production	Away Fill
Should	",105.3418
11632,"Boy
Administration,Feeling,Family	",69.54378,Realize	Herself	,136.0772
11633,"Decide	Consider,",67.04297,"Relationship,Hard,Left ",120.8592
11634,"Provide;Quickly
Show
Me,Cause	Itself;Act|Bar;Machine;",69.61676,From|,121.0389
11635,"Everybody,As
Score	Stand,",69.11044,"Although
Wear Professional;Baby;Quality
Teacher Send,Body	Method	Quickly,",136.6009
11636,"Material	Pass,Collection ",64.55954,Teach Program	,123.4204
11637,"Lose;Population,",65.79362,"Reality
Or	Power,Wide
Party|Able
Listen Close	Most,",132.5145
11638,"Policy Blood;Question
",68.99934,"Establish	Night	Truth|Spend,Mouth,Somebody	Sound|Street Network|",125.0189
11639,,66.16092,"Model
You
Stand
Almost Account
One	Debate;Major,Travel
Pressure;",137.0073
11640,"Lay,Community Describe
",64.3685,"Fine|Often|Sport|Politics|Indeed,Around Feeling;Dinner,Start;Draw,",110.0215
11641,"Past,Stuff;Top	",69.87282,"Environmental Study
Authority;Together|Son	Size|Organization,Small;Decide;",124.8993
11642,"Maybe
Certain
Human|About|Party;Before|Environment,Like,Surface ",66.0047,"List
Campaign
Sure
Interest;Consider|Place
",116.8211
11643,,68.96687,Sound During ,121.3857
11644,"Deep;Finally,Class	North	View,Front,Part	",67.76358,"Probably	Collection
Market,I
Individual	Red
",142.8913
11645,,67.2019,"Issue
",118.5255
11646,Character	Box Sport|New	,67.67049,"Like He|Offer
Finally Summer	Start	Individual;Fear,Quite
Which ",138.3916
11647,"Thought	Man Water,Spend;Ok;Institution|Save ",65.94121,Add Reality|,121.8284
11648,"Political,Leg;Treat	",62.62398,Vote;Structure|,113.6392
11649,"System	Central|Door;Note Owner,Article	Skill;Card Wife|Use,",68.6687,"About;Every,Business|Understand;",148.4025
11650,"Hear
Accept,Organization;",64.99303,"Situation;Dog,Happen
Direction|Game
",134.3959
11651,"Film|They
Thank Buy,Yourself|Answer;Serve;Shoulder|Ever	Center ",70.14061,"School;Social Throw	Set,Thing;Tax;",133.8105
11652,"Red,Fish Back|Surface	Maintain,Wait	",67.33278,"His,Discussion	Speak Finally
",111.0307
11653,All Blue	Or;,71.15018,,127.3908
11654,"Above,Next;Wait,You|Election|Prove ",68.05094,"Important,Out|Itself Sometimes;Girl;",123.1092
11655,Difficult|Find Whole Health;Avoid;Ok|This;Song Final ,70.68057,Clear ,122.0871
11656,Including|Drug Anyone|She|,66.92683,"Theory Few
A|",132.5142
11657,"Effect;Without,Language ",67.32022,"Accept;Threat	Move;Inside
Ever;Agreement;",121.7055
11658,Like;Write;Voice	Respond|Radio	Market Mission Poor|Point	Eat ,65.96371,"Short Measure;All Everything	Baby
Community	",126.1179
11659,"Car;Take,Your,Here,Happen,Life	Tough,My|",66.36048,"Money
Produce	Thousand|Debate Couple	Page|",131.4652
11660,"Also Effort
Citizen|Kind;",70.09062,"Wrong,Future|Big|Across	Somebody,Leg Party Contain;State	",141.6373
11661,"Stage|Work;Design	Either,Family,Indicate
Left	",66.77067,"Enjoy,Development;Fish|Power,Nature;Travel,",114.939
11662,,68.7819,"Popular
Service Case
Interest;Between|Significant|Business,",128.8125
11663,"During
",68.06198,Hope	,125.1513
11664,"Force
Drug;Idea
Million	North|Name,",66.87471,"Seek,Career,Plant;",124.1839
11665,Speech Bed|,64.991,Agree	Arm|,120.5915
11666,"High|Shake|One,With	Story	Leave
Education	News|",64.24525,"Five	Add Recent	Way;Force	Price
",119.3337
11667,"Newspaper Bag
Reach,Money Leader|",64.62759,"Kid
",117.0906
11668,"Appear;Discover Arrive
Bring	Off;",67.47845,Consumer|,125.0172
11669,,68.38035,Short	,120.3051
11670,"Light,Between|Although;Place;Rate,Herself;Wonder,Mention,Hand ",67.9413,"These We Pretty
Food
Include	Energy Science
Wife	",140.2045
11671,"Though
Phone
Argue;Response	Loss
Least
Gas|",69.38765,"Seat Nation;Movie,Set	Old
Identify
Maybe	Staff|Worry;",120.404
11672,"Off|Evidence;Small	Century	Class,Identify
",69.72585,"During,",141.0221
11673,"Decision
Including|Senior
Newspaper|Leader|Form|Know;Back	Do;Me;",64.85369,"Low;Natural;Study,Very,Include,",140.5568
11674,"Music Through;Get Now|Site,Side
Situation;Commercial
Mention|May|",71.14569,"Including|Rule,Entire,Lot;Record|Receive,Try
Forward Not|Simple	",144.9609
11675,"Up	Group
Key;",67.93166,Loss;,116.703
11676,Option;Assume|Follow ,65.8737,"Ball
Meet	Congress;Morning Arm
Relationship;Role|",130.7339
11677,"Ground,Know	",65.27492,"Quite
Statement	Enough	Act|Listen;Well	Sense	Stuff Me,",120.7876
11678,Few;Side|,64.36283,"Meet;Security
Every;All,Hard|Assume,Particularly;Senior,Its	Let
",122.0425
11679,,66.53787,"Process|Low,Physical
Maintain|Middle	Newspaper	Anything;Agreement;Month	",116.5946
11680,"Change	Tonight,Sort
Together Every;Not Yes,Process|Computer ",69.52399,"Somebody Brother	Food|Thing;Next Try|Firm
",133.0562
11681,Race;Take;Floor|Traditional|,69.13837,"Next,Call,More,Remember
Major,General,Last|",139.6702
11682,"Feeling|Certain;House
Teach|",67.67203,"Some;None;Least
",123.8558
11683,,68.95441,Voice	Some|On;Be;Goal|Everyone	Fact	Nature ,141.2783
11684,"Spend|Mr,Less|Significant
Participant,Want	",71.04477,"City,Challenge
Wait|Street,",140.3705
11685,"After
",71.39529,"Six,Social|One ",149.7633
11686,"Throughout
The Structure
Common	Finally
",66.54494,"Art|Sort
Society
Owner
Tend
Bad Loss,Lose|Church,",127.3852
11687,Itself|,68.28091,,136.24
11688,"These,Push Soldier Successful,",67.50144,"Response
Collection	Street	",139.3232
11689,"Around|Same;Idea,Mr;Foreign
Officer ",68.29474,"Important,Away Call	On;Market
Tax
Congress;Way|Open
",133.1216
11690,"Few System,Respond	Southern;Figure,Itself;",70.15135,"Wide	Become	Camera;Bar|High|Level
Stock
Strong ",125.669
11691,"Old,Else;Bring;Behavior,Around Social,Thank ",69.41645,"House,",135.8714
11692,"Eight|Answer,Look	Collection	Government,Energy
Price,Business;Big	",69.36098,"Debate|Two,Heavy
",123.6386
11693,"Candidate
Show|",67.16252,,130.6726
11694,,68.53052,"Trial,Property,Purpose,Experience	Probably Serious Rule Pass	",125.4746
11695,Concern;,69.64804,When	,116.6893
11696,Challenge	Experience	Nearly ,66.68536,"Nor,Single Again
Which;Fly	Stock Wear
Ball,Although;Maybe ",116.2552
11697,"Blood|Nature	Own|Personal
Continue Movie	",65.89405,"Trial
Rate Final;If	Race|Will Article	Matter;",114.064
11698,"Least Way
Statement Woman;Participant	Probably|Join|Send;",67.96456,,118.3278
11699,"Recently|Goal
",64.66704,"Deal|Today
Decide,Another,Community Seem A,Especially
",113.2242
11700,"Enough,High
Sure;",67.83132,Crime;Would;Discover Back|Key|,131.1598
11701,Spend Range ,69.37264,Next|Simply ,132.3018
11702,"Style
I
Company Friend ",64.63475,"Suggest|Night|Yard|Society
Cell	Risk,Value	Interview|Theory	Leave;",122.2873
11703,"Item
Nice	Dream Family,Happen
",68.45736,History;Plan Reach	Since;,121.5602
11704,Thought	Suggest|Market His;,63.66412,"Quality,Enough,Campaign	For,Computer
",121.3552
11705,Republican	,68.23574,Behavior	Among;,134.2459
11706,"Find Nice Indeed,Again|Leave;Be
",69.90933,"Social|Strategy
Man	Half;Mother
Of
Father	",145.0568
11707,,66.34353,"Couple|Try	Necessary
Special
Media Resource
",119.2517
11708,,71.08621,"Myself	Feel|He
Chance Attack Education,Job|Kind
",131.099
11709,"Car;Onto;Build,Age Pretty Model|",69.29874,"Hope,Democratic	Statement
Act;Experience;Station;Raise
",113.3891
11710,"Beautiful
Laugh
Than
Debate	To,Claim;",69.26027,"Look,",136.8925
11711,"Side
",68.3563,My;,136.5469
11712,"Audience;Type
",68.82059,"Run	Fall
East Wait|",134.8073
11713,Buy As	Management	Indeed Second|,67.11847,"Rest,Trial|Address|War,",123.4971
11714,"Degree;Eight,Imagine
",70.16349,"My;Nearly	Human;List
",136.7408
11715,"Series	Rate;Oil	Seat
Remain;Bag|Would|Own|Many	",67.31192,"Administration
Place,",139.7817
11716,Glass;Along;,65.99526,"Style,System;Source
Peace
East,Receive	Relationship,Cold	Theory;",117.9879
11717,"Include	Pick,Per Sing;Economic
",70.32862,"Yes	Will;Discussion Cell	Need;Score;Method
Animal Water Another;",133.2887
11718,"Party
",66.35638,,130.9393
11719,"Break;Choose	Stop;According,Woman ",65.46699,,113.0275
11720,"Situation|Under|Top
",67.06126,"Benefit|Up,Wear Account
",114.7648
11721,"Suggest Whose|Senior,Better|Least
Difference,Analysis;Expect,Serious
Drive	",69.37876,,133.7697
11722,"Truth|All Fast Position;Help,However Send
Car
",68.55299,East;Country	,132.1181
11723,"Weight	Coach Pm|Cause,Wonder	Seek|Most,",64.28602,"Safe	Successful	Add
Evening,Eat|Certainly
Smile,Congress	Ball|Structure;",117.6389
11724,"On|Name|Oil,Meet Card;",66.98559,"Window Economic,Operation Marriage;Claim,Maybe|",124.8642
11725,International;Reality Drug	,68.3511,"Test	Speak,",129.34
11726,"White	Name|Once,Pick	Deal,Everything	Light|Own	Letter|Western ",70.92088,"Budget|Cover;Strong,Safe;Hard;Anything Million
Machine
Eye
",138.3304
11727,"Particularly;Author
Report General,Near|Environmental;Research;Out,Activity,Different ",65.62372,"Lead|Building,Majority Yes,Top,Somebody,Radio Wall	Affect|",122.5121
11728,"Record|Yourself	Own,Religious,Popular	Meeting,Such Common;",67.60294,"Tell
",131.5862
11729,"Significant;Produce,Major|Force,Story
City	Pattern
Difference ",65.45098,Late|Food|Air|Somebody	Result	,109.587
11730,Safe|Benefit|Feeling|,65.9003,"Travel Little,Trip
Administration Clear,Wait,Mean;",124.6232
11731,Couple;Character;,69.28348,Smile|Husband|Group	Much ,142.1931
11732,,69.00879,"Glass Top,Boy,",142.8201
11733,Color;,69.72132,"Create
Skin	Friend;Very	College;",127.0407
11734,"Account Truth	Line,Do,",68.26773,"Against	Often	Own;Offer,",136.2919
11735,"Our|Short,No	Population,We Keep Realize,Build,Start|Mother ",65.26077,"Not,",107.3359
11736,"Billion	Else	Boy Property
Their,Knowledge,",66.6262,"Long,Law Instead,Natural,What,Than|",136.8962
11737,"Talk Industry,Fight ",68.5705,"Whole Anyone Note;Present Everyone
Sister Activity ",121.4571
11738,"Those
Hospital Improve	",71.51468,"Into;Design
Thousand,Own;",139.7799
11739,,67.97982,"Paper
Deep|Fish
Against,Truth Style;Specific ",121.0927
11740,Director	Include;,68.26653,"Culture|Hear	Watch
Find	Language Something Drive	Play
Onto	",134.6471
11741,,66.37001,"Me,Agreement
Phone,",133.1274
11742,"Ask
Nice,That	Create;",65.56004,"Ground;Up|Person|Always,National,Cover;",114.0317
11743,Daughter;Else	Rule Watch|General	,68.20536,"Take;Under
Around	Bad Read Realize;Dream
System
Trial
General	",128.2957
11744,"Ready By
Wonder Church|Stock	Month;Specific,Remain,Response,Federal;",70.14549,"Sign|Card	State	Him Even,",138.6955
11745,"Natural	Hold;Behavior|True
Land	",66.01422,"Win,",114.0106
11746,"Mean Page Write Ball Be,Group|Along|",65.59692,,127.598
11747,"Home,",66.31345,"Project	Scientist	Series	Receive|Beat;Lead|Body|Child,",109.8002
11748,"Today,",70.52695,"Minute;But|Morning,Majority Half|",151.5058
11749,,65.76106,,113.6272
11750,"Vote,Him,Might;Sometimes Girl,Enjoy|Agreement	Try
Sound
Candidate	",69.682,"Government|Factor|Can,Civil,Star,Service;Film
",135.5456
11751,"History Attention Dark|Author;Former;Act Lot	There Everything	Example
",68.90157,Responsibility|,141.6732
11752,"Piece	Thing;I
House|How;Purpose,Create Work
",63.87521,"Collection	Pay
Movie,Then Research,",128.004
11753,,69.44937,"Use	Challenge	Less|Audience,",144.3768
11754,"About|Foreign,Own;Would
Green,Piece
South;Reason|",70.3846,"Little|I
Technology	",166.7687
11755,Executive;Investment ,69.16422,"Compare;Like,Design	",138.4332
11756,"Their;Capital Nice;Story,Cold	",71.0881,"Today Happy|Hotel Use,Bank	Test,Send;Over,Property|Control,",151.926
11757,"Where Me,Focus
Bank|South	Cause,Civil ",64.77026,"Look Arm|Only Stuff
",106.4436
11758,"Training|Check,",69.03944,"Itself
Arrive;Close
",115.6827
11759,Central Another|It	,68.3332,"Manager|Activity,Very,Main;Off	",121.3881
11760,"Time Job Prepare;Finally,Carry	Than
",67.65971,Agreement	,131.6348
11761,"Quality;Rest,Wonder;Push Democrat
",65.95743,"Raise
Night Morning
Successful|Couple	Less Hospital;",129.7027
11762,,68.25092,Million Half	Television	Beautiful;As	Put	Officer|Hope|Prepare;,114.8441
11763,"Sister|Among|Wear Method,World|Yeah,Affect	Thus
Expect ",70.46955,Less;Computer ,127.5134
11764,Carry	Heart Direction Continue ,69.87183,Often|Them;Learn	Either|Half	,154.5964
11765,"Generation Have
Exist;Likely,",70.761,"Street,Heart	",128.8214
11766,"Recently Perform
",67.36771,"Begin,",123.046
11767,"Toward	Support	Group
Leg;College
Likely,Against,Across;Decision,",68.31548,Later|Marriage	,114.5312
11768,But Across ,65.10293,Box;Scientist;,133.1303
11769,"Born|Market	Bill Attention
Usually
Beat,",65.23562,"Recently;Administration;Lead
",107.844
11770,"Main Food Agency World;Various;Education
Herself
New,Mr,Walk;",70.83969,"Suggest,Light	Laugh|Price
Respond Risk
Some	Whether;",136.9762
11771,"Increase;Vote,Issue	Box
Ok
",68.39903,"Relationship	Sure|Fish
Financial;For,",129.656
11772,Hotel;,68.20073,"Simply;True
Financial	Write,Identify|Writer
Sister|Miss	Enter
",118.2019
11773,"Rock
All,Stage,Property Agency	Bit	",66.94098,"Own Care
Physical,Become|Western
Really;Along
",139.2128
11774,Control;Nothing Spring ,66.07977,"Identify	Sense,Work,",131.8414
11775,"Maybe End|If,Individual,",63.36659,Ask;Economy;,123.006
11776,"Back	Artist;Man;Look,Five
Enough|Environmental;Ahead,",68.65857,"Form
Right Customer	Form|Behind	Son|Long Market;Determine ",126.6649
11777,"Marriage|Source
Course;Science	Trial
Section,End|Sense;",67.37221,Hospital	Cost;Already|,137.1801
11778,,68.43509,"Person	Page,Piece ",136.8554
11779,"Detail;Southern|Role,Food|Think Tax Administration|Professor;Experience
",66.22392,"Wife	Contain
Share|Various
Fly	Art;About;Use|Security;Democrat
",122.5205
11780,"As Market|Dinner,Face,Kid
Win
Summer
Go Board,Research	",71.65466,"Bag Agree,Indicate Local Rate|",141.219
11781,"Police Prevent
Prevent	Lose|Truth
Over;Most|Open,News,Order;",66.69573,"Race,Hospital
Happen;Part
This|However	Rest
",125.1122
11782,"Agreement
Low
Right,",66.8559,"Than
",122.1614
11783,"Family,",68.02755,"Here	Many|Plan;Door Inside
Thousand;Guy,Open Newspaper,",134.7933
11784,"Act;Before
Soon
",67.70778,Chair	Understand	Idea	Ability ,122.2427
11785,,63.85135,"Thousand Western;Value
Prevent,Quickly,Player Admit
",120.1494
11786,"Above,Offer	I,Table,Everybody	Must|",69.93291,"Because	Reason	Value|Position,Compare	Class,Wind;Medical;Yes;Wrong	",133.902
11787,"Marriage|Despite|Take,Minute,Find
Deal,Whether|All
White
Simply ",65.84544,"Charge|Pay,Good Yeah;Walk,Word
Art;Especially;Soon	Between;",129.7101
11788,"Girl,Door,Training|Generation,Arrive;Spend Sense,Quality,",66.74059,Next	Fill	President Whom ,135.5989
11789,"Score Trouble,Indicate,Safe;Office;Health;Which;",66.49611,"Example Decide|Look
Director;Assume|Four|Factor,Simple
Test	Agree	",132.8285
11790,Chance;Memory;Case;Decide	Role Key ,68.53937,"Particular Among;Let,Ok	However Those,General
Term
",136.0357
11791,Door Black|Past	,68.24023,"Southern;Head;Together,Almost	Water,Deal Arrive	Compare,Reach;",126.5821
11792,Town	Ready|,70.03063,"Increase,Officer Upon Business	Lawyer ",139.0857
11793,"Ready Save,Fund	Doctor
Term;Leg|We,Director	",67.70792,"Head Determine|Agency
Wear|Popular	Avoid|Decade,",122.902
11794,"Person;Perform|Management Too,",67.72492,"Task;Sport
Commercial;Finally	Actually;Mrs
Talk|Protect;Husband|Class,",117.4035
11795,"Figure	Development|Measure,Say Court,Special|Customer Tend	Reveal,Project ",68.84977,"Reach|Different,Agency
They|Political Smile;Doctor	Part,Window ",133.9518
11796,Least	Early Prevent;Vote;Attention;,68.71268,"Forget
Itself
Bag,Parent
Defense|Feeling ",126.3643
11797,,68.0793,"Store
Arrive	Religious,Identify	Use;No
Particularly|",130.2869
11798,"Because|Speak Support|Writer Prevent	Tree,Officer;",68.30545,Marriage|Go|Head Research;Eight|,131.6604
11799,"Unit;Public
Produce;Return,Company Participant|Car
Authority	Laugh
",70.86867,Single;,126.5751
11800,Can Top ,68.31463,Wind Then;,113.4925
11801,"Right,",67.62648,Decision Operation	Capital Head	Important;,110.1234
11802,Including|Fine ,71.14779,Often	International|Level ,142.3998
11803,"Visit|Responsibility	Right|Ever|Conference Guy
Magazine	There This Group|",67.34629,"Clear;Enough
Anything|Particularly
Adult Give	",107.1787
11804,"Century
Every;Her Politics
Language|Though,Language,The,Material|",66.62532,"News	Politics,Course Result Song	Several	Age ",120.6675
11805,"Care|Which,Identify Live,Prove	Small;",66.68854,Situation|Develop;Report	Finish;Wrong Road;Entire	,122.4703
11806,"May,Reveal	",69.90665,Part Little|Plant|Sea	Particularly;Live|Carry Hard;Future Too|,159.966
11807,Cut ,65.51279,"Easy See	Boy,Mean
Pressure ",108.7832
11808,"No,Industry
Lose|About
Choose	Almost,Create
Able;Only
Keep ",67.47262,"Detail Material	Growth|Six;Message,Area
Government,Instead	",117.2175
11809,"Human Race
Party,Fly Her
Message
Pass From ",66.25672,Win ,116.7766
11810,"You;And	Decision,",68.30086,Reach|Theory ,127.6778
11811,"Though;Anyone,Write Travel Blood|Enter,Fast|Lead,Major Board,",68.31294,,138.8446
11812,"Week	Alone
Mind,Do ",68.45399,"Marriage|Food
Impact	Blood|Listen,Turn;Food Where;Huge|Prove|",108.1145
11813,Produce|Camera|,68.64421,"Trial,Fact,Admit|Child,West|",140.159
11814,"Development Ago|Up,Rise|Themselves|Through;Grow|Rock
Thought
Process ",65.31594,"Student|Section
Week None,Have|Fly
Standard|Growth
Us,",106.6611
11815,"Since	Similar Defense Tv North,Number
Home|Discuss,Role,Special;",68.32665,"Evidence	Spring;Collection;Health,Alone	",139.0646
11816,"Daughter	Growth	Court
Forget;",69.77082,"Soon|Hit;Choose;Sing|Choice
Put
",136.0617
11817,"Happen|Meeting|Should|Its,",66.20932,,133.0581
11818,Word|Box	Example;Wide	Hard|Soon ,68.43401,"War;Perhaps,Turn
Large	Record,",119.8631
11819,Rather	Game;,65.25387,,116.2822
11820,"Just
Anything Test
Mean|Dream|Prevent,",71.7355,"Leg|Family;Whole,Soldier
",162.0943
11821,"Still,Drive,These,It,Guy
",67.76721,,148.8833
11822,Style|Could Mind;Individual	Themselves;Soldier Real|,70.51655,,141.3628
11823,"Against	Tax|Crime|Least Relationship	Huge;Need
Certain	Series	Account	",70.4336,"Area;Reason
Grow;",136.7627
11824,"Number	Run|Remain|Break;Along
Those Remain;Soldier,Woman|Common
",64.25671,"Pressure
Level
Purpose
Already
Economy
Suffer|Quite Believe
Force;Down
",114.8728
11825,"Reach|Partner
",69.37609,"Prepare,According
System,Shoulder Million,Several ",128.0026
11826,"Poor,Necessary;Both;Wide	Important;Population
Model Prepare	Cover|Set,",71.07934,"Thus;Crime	Sea;Remain	Type,Instead,Second;Situation,Voice
",134.5151
11827,"Worry
Debate,Trouble
Then;Newspaper;Always Perhaps
Site|His
",71.70178,"Coach,Very Fill|Want;Professor	",124.1645
11828,"Song|Meet,Game,Prevent	Experience	Production
Measure ",67.3987,"Discuss	Top	Finally	Big,",111.3275
11829,"These	Expect	World Option	Discuss
Apply;",63.62986,"Moment
Security|Financial	Product|Sit;",113.608
11830,Ready Show	,67.13345,"Memory,",116.9574
11831,"Improve;Throw|Adult,Scientist
Message In;Behavior ",68.70886,"Certain
Myself
Seven American	Consider|Down;While	Word	Upon|",129.1443
11832,"Common;Fear
Bar;Military	",67.71809,"Meet;Country
Painting	Find,On,Paper,Animal,Probably,Market;Itself ",123.3103
11833,Role|,67.72767,,128.2164
11834,,70.07335,"Company,Pass All	Safe,Space,Beautiful	Week
",132.9222
11835,"Marriage
Bill;Interest	Two,Scene|",64.20874,"Experience
Night
Subject
Again	Anything Employee;",124.7975
11836,"Bill
Crime;Either	Possible,Institution|Stuff|Production,Half|",70.10636,"Response;Might;Summer,Smile,This ",114.9911
11837,"Standard
Firm|Remain|",65.16199,"Project	Resource|Six	Office,Pattern Clear,Reveal|Last Region ",110.9849
11838,"Again Cell Name|Conference;Size	Discover|Weight
",68.53018,"Reality,Senior
True,Sport	Between,Upon,",125.2053
11839,"Discussion People|Respond Special
You	",69.79457,"Year|Company,Beautiful;",131.1487
11840,How	Establish|Majority	Clearly School	Simply	Management Fact|,67.28489,"Much|Agreement|Choice Generation,",105.2101
11841,"Position
Star,Collection,Capital
Which,Husband|She Machine,Letter	",69.49036,"Baby|Here;Enter	Policy
",129.6225
11842,"Campaign Region,Role,Machine	Thus	Race|Figure Term;Soldier;Beautiful|",65.42646,"Show|Professional|Blood
Take Provide|He|Help	",111.7143
11843,"Owner Sit
College|Need	Career,Eat ",66.31501,"Impact|Challenge|Attack
Give;Real;Politics|Ready,Mean|Quickly|",105.8468
11844,"Institution
Care,Tv	Card
Example;Long,",65.73484,"Report;Wait	Computer|Lot|Probably|Cultural	Mother;Too|Yourself	Shake
",104.5094
11845,"Cultural,Central,Off	One;",71.30941,Sense	,152.3587
11846,"Hold	Shake
Attorney;Product;Former,Only|Parent
He;In	",70.22624,"Adult,Control
Again News;Information	Real
Somebody From
Themselves,Light ",147.9016
11847,"Less Forget
Focus Physical Forget Religious,Manage,Apply,Maintain
",68.04495,"Strategy
Its;Main	South,Although,Fire	Case;Administration	",130.2388
11848,"Scientist	Shake,Federal|Adult	Quite	",70.27278,Claim	Might;Per;Huge	Wrong|Almost	Network	,138.2409
11849,"Clear Important
Daughter,To Share|Oil;Customer City	Majority	Blood	",66.97106,"Election;Section	Once	Other,Establish;Check|",135.2028
11850,"Seat,",68.55277,Fact Sister ,123.7852
11851,"Culture
",66.17403,"Election Cultural
Hold|Program Market	",118.887
11852,"Choose
Right
Agency	Region;Reason
",71.37583,"Worry,Its	About	Agreement|Player Minute Authority
See,",143.3104
11853,"Win;Decade,Attention,",68.1764,,130.5409
11854,"Never,Group ",66.28408,"Reveal	Blood|Imagine
General Individual|Consumer
Worker Goal,Person;",142.1004
11855,"Education
Program|Ask	Site;Child
Fact;",68.15962,Above|Job Team;Occur|Final|,113.7851
11856,"Mother,Population;Deal,We
",70.00181,"Create
It,Leave;",137.8272
11857,"Wide Information,",65.30659,Can|,129.8103
11858,,65.67376,Amount|,120.5005
11859,,68.92178,"Citizen Reflect;International;Business Society|Goal,Thousand
",119.6501
11860,"Measure|Record	Three
",67.6359,"Realize;Down|Measure
Hair;Traditional;Necessary	For Campaign ",140.8418
11861,Project;Western	Past;,67.91694,"Accept
",119.803
11862,"Store	Teach	Visit,Eight	Stand ",67.48812,Though	Near	Though|Contain;Pressure|,130.9508
11863,"Forward,Party;Century	Ahead Possible;",69.30675,"Artist,Class|History|Determine|",115.0445
11864,"Bank,",67.86395,"Understand;We	Four,Fact Hear
Similar	Push|Color Can
Policy
",132.5698
11865,Operation|Defense	,65.71274,"Computer	Executive
Part|Nature	Expert	",124.7391
11866,"Bar|Themselves;Yeah Condition
High,",67.33136,,126.6475
11867,"About	Should	Reach|Team,Tax;Address
",69.31735,"Give;Fast	Small|Least See,Improve,Hold|",122.5178
11868,"I|Fine;Word,Whatever ",67.52153,"Cold;Sort	List Lawyer Tend
Race;Budget Open
Medical	",136.845
11869,,67.79825,"Make|Would|Power	His
Theory,Crime;Agreement	",120.662
11870,"Data Or
Success	",69.26416,"Day,Voice|Gun	Organization|Question,Top Must|",131.5304
11871,"Technology	Either
Relationship;Vote
Month
Identify	Minute	Answer Already Big ",66.49667,"Great Cover Fish,Tree ",109.7068
11872,Continue	Kid;Majority ,66.038,"Natural|Region	Appear|Cell	Artist Study,Moment ",110.9574
11873,,68.29789,"Democratic|Knowledge,At|Skill ",116.7817
11874,,69.05551,"Dream
Bank South;",130.8969
11875,Player;Bad|Here|Western ,65.0319,"Good
Show;Across
Fly|",133.1258
11876,Home;Rich	,69.31651,"How;Once,For
High Trip	House;",138.9581
11877,Impact	Little	Mean|Movie|Leave;Peace	Heart|,66.21304,Important Eight	,128.8419
11878,"Policy;High|Future;Parent School	One Course,Attack
",66.18026,"Oil
Assume Really|Why|Serve,Century,Eight
",122.4841
11879,Range	,68.86646,"List;Most;Management;Policy;Under|Community Physical
",120.4853
11880,"Share;Little
Officer Fight;",67.86276,"Lot|College
Feel;Sort;Relate,",148.8508
11881,"Very,Effort
Many,Trade
Whom;",67.17639,"Property;Seem,Affect Image;Speech	Discuss,Measure;Want	",121.491
11882,Establish;Story|,66.17,"So;Speech,Major
Amount
Tough;Group;Center;",112.3456
11883,,69.25778,"East One|Science|Major;Community;Two	Radio|Raise,Argue|Prepare
",118.8957
11884,Dream|Note|Old|End|Service;Technology	Finally	,72.80628,College Draw Top Sound;,150.9784
11885,"Cost,All Nice
Important
Somebody|Cover	Act Ago
Red
Wall,",67.49802,White	,145.0319
11886,Deep|Seek	Sort Production;Shake;,68.53323,,106.9801
11887,"Red	Religious	Realize;Few	Republican
Main Laugh;Member,Ability;Tv,",67.72701,Beautiful|Community|,110.8524
11888,"Owner;Offer|Treatment,Figure,Yet	Feel;Baby	",67.403,"Camera;Thus	Career,Off Anyone	Phone;Forget	",123.071
11889,"They Thank|Economic Site Increase	Wish;Wish	Fund;Along;Old,",70.97371,"Interesting;International Ago,Apply We,Situation	Finally,War|",137.9285
11890,"Finish	West	Do
Reduce;Everyone ",65.88602,"Morning	Staff,Push,Ten	Nothing	Clearly Magazine;",127.0234
11891,"Out	Partner|Head;Away
Worker;",64.69625,Network Everybody|Try Another	Attack|,116.2922
11892,"Finally
Red|",65.07999,Information;List ,107.0743
11893,"Court,Possible,Social|Magazine,",67.33598,"Against Spring	Training,Southern	List,",107.7602
11894,"Herself|Set,",67.17823,,120.969
11895,"Career|Particular Maintain,Main|Maybe;Apply Alone Front	",68.2152,"Tree,Rich Room|",122.5298
11896,"Office
Music
Growth|Price,Computer,Eat,South	",68.27877,"Star
Himself|President|",120.1926
11897,,70.32072,"Beat,Drug
Claim;Ever,",125.2459
11898,"Another,New|Generation|Necessary|",68.84149,"Affect;Art|Month,Off|Capital,Trip;Up
Road;",118.773
11899,"Recently;Science
Small	Part;Money	Over;Far Together
Republican;",65.41384,Difficult	Security Evidence ,127.5122
11900,"Want,School,Young	",66.90698,"Student Across,Push,Foot;",122.5176
11901,,66.92565,"Property;Personal	Fast Experience Action
",109.6505
11902,"Physical,Argue,Attorney;Strong School;Machine
Bill;",72.16852,"Democrat
Movement|Degree National To	Question
Way,",125.865
11903,"Activity;Dark|Effect
Writer,Audience,List	Garden
Top
",67.58419,Result;So Listen|Reflect Serve	Cost|,124.551
